id,carrier_id,key,name,infinite,created_at,updated_at
1,1,loss,loss,false,19-08-2010,19-08-2010
2,2,hot_water,hot water,false,19-08-2010,19-08-2010
3,3,crude_oil,crude oil,false,19-08-2010,19-08-2010
4,4,steam_hot_water,steam / hot water,false,19-08-2010,19-08-2010
5,5,electricity,electricity,false,19-08-2010,19-08-2010
6,6,solar_radiation,solar radiation,true,19-08-2010,19-08-2010
7,7,ambient_heat,ambient heat,true,19-08-2010,19-08-2010
8,8,ambient_cold,ambient cold,true,19-08-2010,19-08-2010
9,9,natural_gas,natural gas,false,19-08-2010,19-08-2010
10,10,useable_heat,useable heat,false,19-08-2010,19-08-2010
11,11,biomass,biomass,false,19-08-2010,19-08-2010
12,12,biofuel,biofuel,false,19-08-2010,19-08-2010
13,13,greengas,greengas,false,19-08-2010,19-08-2010
14,14,coal,coal,false,19-08-2010,19-08-2010
15,15,gasoline,gasoline,false,19-08-2010,19-08-2010
16,16,diesel,diesel,false,19-08-2010,19-08-2010
17,17,lpg,LPG,false,19-08-2010,19-08-2010
18,18,biodiesel,biodiesel,false,19-08-2010,19-08-2010
19,19,bio_ethanol,bio-ethanol,false,19-08-2010,19-08-2010
20,20,kerosine,kerosine,false,19-08-2010,19-08-2010
21,21,waste,waste,false,19-08-2010,19-08-2010
22,22,uranium,uranium,false,19-08-2010,19-08-2010
23,23,wind,wind,true,19-08-2010,19-08-2010
24,24,bio_oil,bio-oil,false,19-08-2010,19-08-2010
25,25,water,water,true,19-08-2010,19-08-2010
26,26,low_caloric_gas,low caloric gas,false,19-08-2010,19-08-2010
27,27,high_caloric_gas,high caloric gas,false,19-08-2010,19-08-2010
28,28,lng,LNG,false,19-08-2010,19-08-2010
29,29,cooling,cooling,false,19-08-2010,19-08-2010
30,30,car_kms,car kms,false,19-08-2010,19-08-2010
31,31,truck_kms,truck kms,false,19-08-2010,19-08-2010
32,32,light,light,false,19-08-2010,19-08-2010
33,33,algae_diesel,Algae diesel,false,19-08-2010,19-08-2010
34,34,biogas,biogas,false,19-08-2010,19-08-2010
35,35,lignite,Lignite,false,19-08-2010,19-08-2010
36,36,cng,CNG,false,19-08-2010,19-08-2010
37,37,imported_electricity,imported electricity,false,19-08-2010,19-08-2010
38,38,compressed_gas,Compressed gas,false,19-08-2010,19-08-2010
39,39,overflow,overflow,false,19-08-2010,19-08-2010
40,40,gasmix,gasmix,false,19-08-2010,19-08-2010
41,41,notdefined,notdefined,false,15-09-2010,17-09-2010
